Sor-szám,Technikai szám,Név,Székhely,Felajánlott összeg (Ft),Felajánlók száma (fő),Havi bruttó átlagbér (Ft)
1.,1823,NEMZETI TEHETSÉG PROGRAM FELADATAI,,"3,352,703,950","342,047","544,549"
2.,0097,A BIBLIA SZÓL EGYESÜLET,1089 BUDAPEST GOLGOTA UTCA 3.,"7,357,318",927,"440,928"
3.,2295,A FÉNY LOVAGJAI ÉS TESTVÉRISÉGE EGYESÜLET,2120 DUNAKESZI SZENT ISTVÁN UTCA 15.,"11,904,941","1,233","536,404"
4.,2398,A KÉK SZALAG ÚTJA FÜGGETLEN BUDDHISTA REND EGYHÁZA,6331 FOKTŐ FŐ ÚT 88.,"33,266,867","3,313","557,851"
5.,2549,A LOKAPÁLA EGYHÁZ,5000 SZOLNOK ZRÍNYI UTCA 12.,"27,733,619","2,650","581,418"
6.,0561,A METAFIZIKAI HAGYOMÁNY CENTRUMA,4029 DEBRECEN KÍGYÓ UTCA 26. TETŐTÉR.em. 12.ajtó,"20,692,658","1,990","577,684"
7.,0255,A TAN KAPUJA BUDDHISTA EGYHÁZ,1098 BUDAPEST BŐRZSŐNY U 11,"477,026,597","44,102","600,913"
8.,2800,A TUDATOS ÉS SPIRITUÁLIS FEJLŐDÉSÉRT KÖZÖSSÉG,1148 BUDAPEST ADRIA SÉTÁNY 1. A.lh. I.em. 15.ajtó,"20,821,949","2,010","575,510"
9.,2848,ABZU SPIRITUÁLIS EGYHÁZA,2338 ÁPORKA ERDŐ UTCA 3.,"1,059,324",119,"494,549"
10.,2130,AGAPÉ GYÜLEKEZETEK KÖZÖSSÉGE,1181 BUDAPEST KONDOR BÉLA SÉTÁNY 18.,"21,847,724","3,310","366,696"
11.,2790,ANDROGINIA AZ EMBERI TELJESSÉG EGYHÁZA EGYESÜLET,6725 SZEGED MOSZKVAI KÖRÚT 21. 4.ajtó,"258,464",19,"755,743"
12.,0839,ANKH AZ ÖRÖK ÉLET EGYHÁZA,1113 BUDAPEST BADACSONYI UTCA 5.,"3,548,342",349,"564,843"
13.,2910,ANTOANISTA VALLÁS EGYESÜLET,4501 KEMECSE TÁNCSICS MIHÁLY UTCA 15.,"102,691",14,"407,504"
14.,2288,APOSTOLI PÜNKÖSDI GYÜLEKEZET EGYESÜLET,7900 SZIGETVÁR SZÉCHENYI UTCA 79.,"618,660",80,"429,625"
15.,2525,ARATÁS KERESZTÉNY EGYESÜLET,1077 BUDAPEST ROTTENBILLER UTCA 44. FSZT.em. Ü-8.ajtó,"1,903,105",192,"550,667"
16.,1483,ÁRKÁDIA FÉNYEINEK SPIRITUÁLIS EGYHÁZA,4600 KISVÁRDA VIRÁGH FERENC U. 58,"19,223,722","2,331","458,166"
17.,1809,ÁRPÁD RENDJÉNEK JOGALAPJA TRADICIONÁLIS EGYESÜLET,8164 BALATONFŐKAJÁR ÁRPÁD UTCA 60.,"5,371,586",538,"554,687"
18.,2886,ATEMI BUDO ACADEMY MEGVILÁGOSODÁS ÚTJÁNAK KÖZÖSSÉGE ATEMI MEGVILÁGOSODÁS SZTÚPÁJA,2081 PILISCSABA VÖLGY UTCA 2.,"2,923,180",253,"641,893"
19.,0176,AZ ÜDVHADSEREG SZABADEGYHÁZ-MAGYARORSZÁG,1064 BUDAPEST RÓZSA UTCA 111. II.em.,"68,690,701","6,781","562,771"
20.,1988,BÉKE GYÜLEKEZET,2500 ESZTERGOM MIKSZÁTH KÁLMÁN UTCA 36.,"5,685,028",696,"453,786"
21.,2855,BÉKÉSI ÉBEN-HÁÉZER VALLÁSI EGYESÜLET,5742 ELEK KÉTEGYHÁZI ÚT 68.,"184,987",26,"395,271"
22.,2862,BÉKÉSI ÉLIM KERESZTÉNY EGYESÜLET,5746 KUNÁGOTA ÁRPÁD UTCA 66.,"615,650",83,"412,082"
23.,2934,BEREGI ÉLET ÚT KERESZTÉNY EGYESÜLET,4334 HODÁSZ BARTÓK BÉLA UTCA 9.,"433,899",42,"573,940"
24.,1751,BÉT ORIM REFORM ZSIDÓ HITKÖZSÉG EGYHÁZ,1065 BUDAPEST RÉVAY UTCA 16.,"6,048,668",492,"683,002"
25.,2518,BHARATA HINDU KÖZÖSSÉG,7086 OZORA PETŐFI SÁNDOR UTCA 45/B.,"17,490,365","1,519","639,689"
26.,2604,BORSODI ALFA VALLÁSI EGYESÜLET,3659 SÁTA SZÉCHENYI UTCA 37.,"4,644,660",406,"635,558"
27.,0420,BUDAI SZERB ORTODOX EGYHÁZMEGYE,2000 SZENTENDRE PÁTRIÁRKA UTCA 5.,"25,882,057","2,102","684,059"
28.,0664,BUDAPESTI AUTONÓM GYÜLEKEZET,1184 BUDAPEST NEFELEJCS UTCA 9-11.,"14,028,562","1,521","512,403"
29.,2501,BUDAPESTI KEGYELEM METODISTA GYÜLEKEZET VALLÁSI EGYESÜLET,1068 BUDAPEST FELSŐERDŐSOR UTCA 5.,"1,005,069",80,"697,965"
30.,0341,BUDDHISTA MISSZIÓ MAGYARORSZÁGI ÁRYA MAITREYA MANDALA EGYHÁZKÖZÖSSÉG,1112 BUDAPEST SUSULYKA U. 240,"116,172,163","11,564","558,112"
31.,2831,CSANÁDI FÉNY ÉS ÉLET VALLÁSI EGYESÜLET,6900 MAKÓ BETHLEN UTCA 94.,"513,163",63,"452,525"
32.,2611,CSONGRÁDI AGAPÉ SZERETET VALLÁSI EGYESÜLET,6787 ZÁKÁNYSZÉK KOSSUTH UTCA 1.,"2,064,445",228,"503,032"
33.,2570,DANUBE NEMZETKÖZI VALLÁSI KÖZÖSSÉG EGYESÜLET,2040 BUDAÖRS ALSÓHATÁR UTCA 14.,"2,293,012",163,"781,531"
34.,1658,DÁVID SÁTORA GYÜLEKEZET EGYHÁZ,8000 SZÉKESFEHÉRVÁR LÉVAI UTCA 11.,"1,820,670",214,"472,656"
35.,1971,DE LA SALLE SZENT JÁNOS EGYESÜLET,7394 MAGYARHERTELEND KOSSUTH LAJOS UTCA 53/C.,"3,555,013",254,"777,562"
36.,1476,DHARMALING MAGYARORSZÁG BUDDHISTA EGYESÜLET,7200 DOMBÓVÁR KRÚDY GYULA UTCA 25.,"12,861,993","1,144","624,611"
37.,1593,DUNA-TISZA-MENTI KERESZTÉNY EGYESÜLET,1119 BUDAPEST ANDOR UTCA 21. C.lh. FSZT.em. 1.ajtó,"3,367,230",345,"542,227"
38.,2453,DZSAJ BHÍM TRIRATNA BUDDHISTA KÖZÖSSÉG,7623 PÉCS SZABADSÁG UTCA 21.,"24,507,387","2,042","666,759"
39.,2680,ECO-TUDATOSSÁG ENERGIÁJA EGYESÜLET,2131 GÖD GÁRDONYI GÉZA UTCA 8.,"18,935,637","1,816","579,284"
40.,0743,EGYESÍTŐ KÖZÖSSÉG EGYESÜLET,1078 BUDAPEST HERNÁD UTCA 35. FSZT.em.,"1,555,008",192,"449,944"
41.,1287,EGYSÉGES MAGYARORSZÁGI IZRAELITA HITKÖZSÉG (STATUSQUO ANTE),1037 BUDAPEST BOKOR UTCA 1-5.,"29,087,381","3,020","535,088"
42.,2068,EKKLESIA GYÜLEKEZET,4400 NYÍREGYHÁZA DEÁK FERENC UTCA 13.,"4,143,190",542,"424,681"
43.,0781,ÉLET GYÜLEKEZETE EGYESÜLET,3700 KAZINCBARCIKA KISERDŐ SOR 31.,"2,237,301",273,"455,291"
44.,2738,ELIZABETH SANDERS KERESZTÉNY MISSZIÓ,1202 BUDAPEST LEININGEN UTCA 14.,"3,605,769",389,"514,963"
45.,0482,ÉLŐ IGE GYÜLEKEZET EGYESÜLET,2310 SZIGETSZENTMIKLÓS NARANCS UTCA 35.,"3,557,557",424,"466,137"
46.,1548,ÉLŐ ISTEN GYÜLEKEZETE,1211 BUDAPEST II. RÁKÓCZI F. UTCA 71.,"1,332,611",160,"462,712"
47.,2336,ERDEI REZERVÁTUM TERMÉSZETVALLÁSI KÖZÖSSÉG,1194 BUDAPEST KISS JÁNOS ALTÁBORNAGY UTCA 13.,"21,396,950","2,265","524,821"
48.,0334,ERDÉLYI GYÜLEKEZET,2440 SZÁZHALOMBATTA SZENT LÁSZLÓ ÚT 46/A. 1.lh.,"106,823,670","10,533","563,434"
49.,1108,EREDETI FÉNY ZEN KÖZÖSSÉG,2500 ESZTERGOM BÚBOSBANKA UTCA 61.,"93,445,793","8,712","595,895"
50.,0891,EVANGÉLIUMI BARÁTSÁG EGYHÁZ,7130 TOLNA ARANY J. UTCA 1/A.,"4,908,499",559,"487,825"
51.,2635,FELÉLEDÉSI KÖZÖSSÉG BIBLIAI EGYESÜLET,2151 FÓT SZÉCHENYI ISTVÁN UTCA 46.,"755,876",76,"552,541"
52.,2082,FÉNY ÉS SZERETET KERESZTÉNYEGYHÁZ VALLÁSI EGYESÜLETE,9233 LIPÓT TÓPART UTCA 4.,"1,212,020",159,"423,487"
53.,2305,FÉNY EVANGÉLIUMA EGYESÜLET,2120 DUNAKESZI SZENT ISTVÁN UTCA 15.,"2,748,269",280,"545,291"
54.,2185,FILADELFIA KERESZTÉNY GYÜLEKEZET  EGYESÜLET,7434 MEZŐCSOKONYA SZABADSÁG UTCA 118.,"1,069,728",123,"483,165"
55.,1531,FÜGGETLEN TÖRTÉNELMI PROTESTÁNS EGYESÜLET,2100 GÖDÖLLŐ SZENT IMRE UTCA 6. 3.EMELET.em. 15.ajtó,"1,760,077",197,"496,356"
56.,0578,GOLGOTA KERESZTÉNY GYÜLEKEZET,1073 BUDAPEST ERZSÉBET KÖRÚT 13.,"33,166,910","3,152","584,583"
57.,2415,GRACE HOUSE EGYESÜLET,2117 ISASZEG KOSSUTH LAJOS UTCA 35.,"1,394,853",163,"475,410"
58.,0042,GYÉMÁNT ÚT BUDDHISTA KÖZÖSSÉG,1074 BUDAPEST HUSZÁR U. 7-9,"383,359,303","36,242","587,654"
59.,2707,GYÓGYULÁS HANGJA KERESZTÉNY EGYESÜLET,3524 MISKOLC HAJÓS ALFRÉD UTCA 9. FSZT.em. 2.ajtó,"5,843,596",625,"519,431"
60.,2628,HAJDÚSÁGI TÜZES SZÍVEK VALLÁSI EGYESÜLET,4242 HAJDÚHADHÁZ DR. FÖLDI JÁNOS UTCA 62.,"5,280,041",395,"742,622"
61.,2051,HATÁRTALAN LELKEK TÁRSASÁGA EGYESÜLET,1165 BUDAPEST THALY KÁLMÁN UTCA 16.,"1,521,054",204,"414,230"
62.,2563,H.E JIGTHUB RINPOCHE MAHAYANA BUDDHISTA EGYHÁZ,3067 GARÁB PETŐFI ÚT 41.,"8,299,480",718,"642,176"
63.,0451,HETEDNAP ADVENTISTA REFORMMOZGALOM,3255 FEDÉMES FELSZABADULÁS UTCA 5.,"3,225,096",347,"516,346"
64.,0248,HETEDNAPI ADVENTISTA EGYHÁZ,2119 PÉCEL RÁDAY U. 12,"53,356,441","6,104","485,624"
65.,0279,HIT GYÜLEKEZETE,1103 BUDAPEST GYÖMRŐI ÚT 69,"225,418,966","42,493","294,714"
66.,2958,IGAZSÁG HÁZA GYÜLEKEZET VALLÁSI EGYESÜLET,7623 PÉCS MEGYERI TÉR 10. E.LPH.lh. 2.EM.em. 6.A.ajtó,"451,961",38,"660,762"
67.,0918,IGAZSÁG OSZLOPA TELJES EVANGÉLIUMI KERESZTÉNY EGYESÜLET,1165 BUDAPEST ÚJSZÁSZ UTCA 47. 1.em. 20.a.,"443,635",65,"379,175"
68.,2226,ISTEN EGYHÁZA,2011 BUDAKALÁSZ BUDAI ÚT 55.,"3,349,273",407,"457,176"
69.,2927,ISTEN GYERMEKEI VALLÁSI ÖNFEJLESZTŐ KÖZÖSSÉG,8230 BALATONFÜRED KÉKI VÖLGY HRSZ.4621/1.,"1,578,016",169,"518,743"
70.,0585,ISTEN GYÜLEKEZETE EGYESÜLT PÜNKÖSDI EGYHÁZ,7900 SZIGETVÁR DEÁK FERENC TÉR 20/C. FSZ.em. 3.ajtó,"803,901",63,"708,907"
71.,0640,ISTEN-TAN EGYESÜLET,1034 BUDAPEST SAN MARCO UTCA 49. IV.em. 1.ajtó,"9,644,414","1,069","501,217"
72.,2824,JÁSZSÁGI ÉLIM VALLÁSI EGYESÜLET,5100 JÁSZBERÉNY SZENT LÁSZLÓ UTCA 3. FSZT.em. 1.ajtó,"789,046",71,"617,407"
73.,2147,JÓ HÍR EGYESÜLET,6725 SZEGED VADMACSKA UTCA 24. FSZT.em. 1.ajtó,"3,569,749",428,"463,363"
74.,1146,KELTA-WICCA HAGYOMÁNYŐRZŐK EGYHÁZA,1034 BUDAPEST NAGYSZOMBAT UTCA 25. 1.em. 52.ajtó,"59,606,684","5,719","579,032"
75.,0080,KERESZTÉNY ADVENT KÖZÖSSÉG,1121 BUDAPEST REMETE ÚT 16/A.,"16,484,419","1,791","511,335"
76.,2460,KERESZTÉNY CSALÁD GYÜLEKEZET,9011 GYŐR VONAT ÚT 7.,"8,975,156","1,001","498,122"
77.,1342,KERESZTÉNY ÉLET KÖZPONT EGYESÜLET,3351 VERPELÉT BEZERÉDI ÚT 1.,"3,230,117",397,"452,017"
78.,2192,KERESZTÉNY ESSZÉNUS EGYHÁZ,1033 BUDAPEST REVICZKY EZREDES UTCA 2. D.LPH.lh. 2.EM.em. 4.ajtó,"8,648,226","1,064","451,557"
79.,1926,"KERESZTÉNY KÖZÖSSÉG EGYHÁZ, MOZGALOM A VALLÁSI MEGÚJULÁSÉRT",1051 BUDAPEST NÁDOR UTCA 34. 1.em. 1.ajtó,"19,203,299","1,949","547,383"
80.,2673,KERESZTÉNY TANÍTVÁNYOK KÖZÖSSÉGE VALLÁSI EGYESÜLET,6000 KECSKEMÉT BERZSENYI UTCA 15. 2.EM.em. 6.ajtó,"952,827",102,"518,969"
81.,0169,KERESZTÉNY TESTVÉRI KÖZÖSSÉG,2167 VÁCDUKA KOSSUTH L.U.141.,"6,371,745",760,"465,771"
82.,2037,KIRKO EZOTERIKUS VALLÁSI EGYESÜLET,1072 BUDAPEST RÁKÓCZI ÚT 12/B. III.em. 2.ajtó,"1,541,616",167,"512,846"
83.,0224,KONSTANTINÁPOLYI EGYETEMES PATRIARCHÁTUS MAGYARORSZÁGI ORTHODOX EXARCHÁTUS,1056 BUDAPEST VÁCI UTCA 55. 1/1.em.,"11,450,930","1,059","600,720"
84.,2477,KONTAKT BUDDHISTA VIPASSANA KÖZÖSSÉG,1212 BUDAPEST SZÉCHENYI ISTVÁN UTCA 77.,"8,707,020",795,"608,457"
85.,0970,KOREAIAK MAGYARORSZÁGI ÉS KÖZÉP-EURÓPAI KERESZTÉNY GYÜLEKEZETÉNEK EGYESÜLETE,1062 BUDAPEST SZÉKELY BERTALAN UTCA 11. 2.em.,"17,942,474","1,350","738,373"
86.,2484,KŐSZEGI ZSIDÓ HITKÖZSÉG,9730 KŐSZEG MUNKÁCSY MIHÁLY UTCA 11.HRSZ.2324/1.,"5,464,101",534,"568,467"
87.,2783,KRISZTUS KERESZTJE KERESZTÉNY VALLÁSI EGYESÜLET,1089 BUDAPEST VISI IMRE UTCA 12. FSZ.lh. 2.em.,"2,146,311",255,"467,606"
88.,2271,KRISZTUS KÖZPONTÚ EGYHÁZ SZÍVBUNKER KERESZTÉNY MISSZIÓ ÉS GYÜLEKEZET,1071 BUDAPEST DAMJANICH UTCA 9. VI.em. 2.ajtó,"1,306,416",165,"439,871"
